frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
14, 0, 0.260, 0.88, 1, -77.7, -147.8, 962.4, 0.401, -0.288, 0.016, 0.00, 0.00, 2.67, 0.00, 0.00, 0.00, 0.00, 1.21, 0.00, 1.40, 0.00, 0.00, 0.00, 0.00, 0.61, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
15, 0, 0.280, 0.98, 1, -77.3, -147.6, 963.8, 0.404, -0.292, 0.020, 0.00, 0.00, 2.55, 0.00, 0.00, 0.00, 0.00, 1.19, 0.00, 1.50, 0.00, 0.14, 0.00, 0.00, 0.63, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
16, 0, 0.300, 0.98, 1, -76.1, -146.6, 958.7, 0.387, -0.291, 0.016, 0.00, 0.00, 2.49, 0.00, 0.00, 0.00, 0.00, 1.09, 0.00, 1.64, 0.00, 0.28, 0.00, 0.00, 0.53, 0.12, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
17, 0, 0.320, 0.98, 1, -75.7, -147.2, 963.0, 0.388, -0.292, 0.018, 0.00, 0.00, 2.52, 0.00, 0.00, 0.00, 0.00, 1.03, 0.00, 1.72, 0.00, 0.39, 0.00, 0.07, 0.50, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18, 0, 0.340, 0.98, 1, -74.4, -146.6, 957.6, 0.378, -0.295, 0.015, 0.00, 0.00, 2.64, 0.00, 0.00, 0.00, 0.00, 0.98, 0.00, 1.74, 0.00, 0.37, 0.00, 0.13, 0.51, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19, 0, 0.360, 0.98, 1, -73.9, -146.6, 958.3, 0.379, -0.301, 0.021, 0.00, 0.00, 2.60, 0.00, 0.00, 0.00, 0.00, 1.02, 0.00, 1.61, 0.00, 0.36, 0.00, 0.29, 0.58, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20, 0, 0.380, 0.98, 1, -73.1, -145.9, 952.4, 0.366, -0.305, 0.020, 0.00, 0.00, 2.53, 0.00, 0.00, 0.00, 0.00, 1.12, 0.00, 1.54, 0.00, 0.41, 0.00, 0.46, 0.51, 0.15, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21, 0, 0.400, 0.98, 1, -72.2, -145.2, 945.7, 0.365, -0.304, 0.021, 0.00, 0.00, 2.41, 0.00, 0.00, 0.00, 0.00, 1.18, 0.00, 1.50, 0.00, 0.39, 0.00, 0.58, 0.53, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22, 0, 0.420, 0.98, 1, -72.4, -146.1, 951.2, 0.369, -0.311, 0.026, 0.00, 0.00, 2.42, 0.00, 0.00, 0.00, 0.00, 1.11, 0.00, 1.34, 0.00, 0.38, 0.00, 0.63, 0.52, 0.21, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23, 0, 0.440, 0.98, 1, -71.9, -145.5, 947.2, 0.373, -0.306, 0.024, 0.00, 0.00, 2.44, 0.00, 0.00, 0.00, 0.00, 0.97, 0.00, 1.44, 0.00, 0.30, 0.00, 0.55, 0.57, 0.25, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
